gameId,gameDuration,goldDiff,expDiff,champLevelDiff,isFirstTower,isFirstBlood,killedFireDrake,killedWaterDrake,killedAirDrake,killedEarthDrake,killedElderDrake,lostFireDrake,lostWaterDrake,lostAirDrake,lostEarthDrake,lostElderDrake,killedBaronNashor,lostBaronNashor,killedRiftHerald,lostRiftHerald,destroyedTopInhibitor,destroyedMidInhibitor,destroyedBotInhibitor,lostTopInhibitor,lostMidInhibitor,lostBotInhibitor,destroyedTopNexusTurret,destroyedBotNexusTurret,lostTopNexusTurret,lostBotNexusTurret,destroyedTopBaseTurret,destroyedMidBaseTurret,destroyedBotBaseTurret,lostTopBaseTurret,lostMidBaseTurret,lostBotBaseTurret,destroyedTopInnerTurret,destroyedMidInnerTurret,destroyedBotInnerTurret,lostTopInnerTurret,lostMidInnerTurret,lostBotInnerTurret,destroyedTopOuterTurret,destroyedMidOuterTurret,destroyedBotOuterTurret,lostTopOuterTurret,lostMidOuterTurret,lostBotOuterTurret,kills,deaths,assists,wardsPlaced,wardsDestroyed,wardsLost
4391904347,1025000,-10721,-9108,-1.8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,7,20,3,50,6,7
4394287563,1923000,8940,14706,2,1,1,1,1,2,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,42,27,45,84,35,27
4495191260,1835000,12380,8766,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,49,27,55,71,19,23
4547316626,2093000,12203,6381,0.8,1,1,0,3,1,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,44,31,62,82,42,25
4489750239,1041000,8974,5163,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,18,9,21,30,10,8
4543854135,1698000,8982,8147,0.6,1,1,1,2,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,29,18,29,59,17,17
4537740250,1857000,-11918,-2183,0,0,1,0,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,27,42,27,53,15,22
4365993463,1511000,10666,5398,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,27,11,34,52,15,18
4470917301,1952000,-6699,-9867,-0.6,1,1,1,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,20,32,31,85,16,18
4536776839,1857000,9411,11127,1.2,1,1,1,0,0,3,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,43,24,52,56,24,11
4468363540,1832000,15764,11121,1.6,1,1,1,1,1,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,45,16,78,57,16,11
4541849023,1195000,-13571,-10665,-1.8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,11,26,9,33,9,7
4424504447,1586000,-5517,-10637,-1.4,1,1,0,1,0,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,23,29,39,57,21,15
4531515752,1423000,-10014,-9928,-1.4,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,13,22,19,45,10,15
4546957514,1841000,6369,6362,0.6,1,1,0,0,0,0,0,2,1,1,0,0,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,24,20,37,69,20,25
4535840488,1954000,-3897,-11128,-1.4,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,20,21,22,58,23,27
4430402735,1216000,13936,8899,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,27,7,35,59,11,8
4546334169,2137000,5282,3775,0.8,1,1,2,1,0,1,1,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,34,36,42,70,30,25
